img_num,rel_x,rel_y,cell_roi_w,cell_roi_h,label
75,42,52,117,96,seg_neutrophil
76,43,51,114,99,band_neutrophil
77,66,60,69,81,lymphocyte
78,12,52,93,96,seg_neutrophil
79,45,46,111,108,myelocyte
80,43,54,114,93,band_neutrophil
81,49,57,102,87,metamyelocyte
82,48,52,105,96,band_neutrophil
83,57,49,87,102,seg_neutrophil
84,49,55,102,90,seg_neutrophil
85,51,57,99,87,seg_neutrophil
86,61,63,78,63,lymphocyte
87,45,46,111,108,monocyte
88,52,52,96,96,seg_neutrophil
89,46,60,108,81,myelocyte
90,60,21,81,108,band_neutrophil
91,39,52,123,96,myelocyte
92,43,61,114,78,seg_neutrophil
93,49,57,102,87,metamyelocyte
94,46,57,108,87,band_neutrophil
95,51,60,99,81,band_neutrophil
96,39,54,123,93,myelocyte
97,43,52,114,96,seg_neutrophil
98,52,52,96,96,seg_neutrophil
99,46,77,108,90,seg_neutrophil
100,46,51,108,99,seg_neutrophil
101,57,54,87,93,immature_wbc
102,46,48,108,105,seg_neutrophil
103,48,54,105,93,seg_neutrophil
104,34,45,132,111,band_neutrophil
105,51,39,99,96,seg_neutrophil
106,46,43,108,114,seg_neutrophil
107,52,45,96,111,band_neutrophil
108,48,55,99,90,band_neutrophil
109,60,61,69,78,lymphocyte
110,46,48,108,105,seg_neutrophil
111,63,89,75,72,lymphocyte
112,55,51,90,99,myelocyte
113,43,45,114,111,seg_neutrophil
114,39,15,123,108,myelocyte
115,30,58,96,84,seg_neutrophil
116,49,55,102,90,band_neutrophil
117,42,45,117,111,seg_neutrophil
118,57,51,87,99,immature_wbc
119,49,52,102,96,band_neutrophil
120,54,57,93,87,myelocyte
121,34,46,132,108,metamyelocyte
122,45,49,111,102,seg_neutrophil
123,52,49,96,102,band_neutrophil
124,46,55,108,90,band_neutrophil
125,45,51,111,99,myelocyte
126,45,52,111,96,myelocyte
127,39,54,123,93,myelocyte
128,55,55,90,90,seg_neutrophil
129,45,89,111,87,seg_neutrophil
130,67,63,66,75,lymphocyte
131,49,42,102,90,myelocyte
132,54,61,93,78,myelocyte
133,52,64,96,72,myelocyte
134,46,55,108,90,myelocyte
135,52,52,96,96,band_neutrophil
136,46,48,108,105,metamyelocyte
137,46,49,108,102,myelocyte
138,51,54,99,93,band_neutrophil
139,55,49,90,102,myelocyte
140,86,46,105,108,seg_neutrophil
141,45,52,111,96,seg_neutrophil
142,37,46,126,108,lymphocyte
143,42,49,117,102,myelocyte
144,55,51,90,99,band_neutrophil
145,51,60,99,81,myelocyte
146,37,98,126,90,metamyelocyte
147,42,54,117,93,seg_neutrophil
148,51,51,99,99,seg_neutrophil
149,46,83,108,111,seg_neutrophil
150,49,49,102,102,band_neutrophil
151,65,45,108,111,band_neutrophil
152,48,45,105,111,seg_neutrophil
153,70,57,60,87,lymphocyte
154,52,46,96,108,myelocyte
155,48,55,105,90,band_neutrophil
156,43,52,114,96,seg_neutrophil
157,52,49,96,102,band_neutrophil
158,48,46,105,108,metamyelocyte
159,54,49,93,102,band_neutrophil
160,54,51,93,99,band_neutrophil
161,46,46,108,108,metamyelocyte
162,45,54,111,93,band_neutrophil
163,49,46,102,108,myelocyte
164,37,48,126,105,myelocyte
165,24,46,99,108,myelocyte
166,45,48,111,105,band_neutrophil
167,54,61,93,78,seg_neutrophil
168,49,58,102,84,metamyelocyte
169,12,51,87,99,seg_neutrophil
170,54,51,93,99,band_neutrophil
171,43,46,114,108,band_neutrophil
172,46,52,108,96,band_neutrophil
173,39,37,123,126,band_neutrophil
174,6,52,99,96,seg_neutrophil
175,46,48,108,105,seg_neutrophil
176,51,57,99,87,seg_neutrophil
177,46,57,108,87,myelocyte
178,40,58,120,84,myelocyte
179,52,51,96,99,seg_neutrophil
180,54,15,93,90,band_neutrophil
181,55,54,90,93,band_neutrophil
182,52,55,96,90,band_neutrophil
183,55,63,90,75,myelocyte
184,15,52,102,96,band_neutrophil
185,51,42,99,117,myelocyte
186,51,54,99,93,seg_neutrophil
187,51,55,99,90,band_neutrophil
188,49,57,102,87,seg_neutrophil
189,39,55,123,90,band_neutrophil
190,51,52,99,96,band_neutrophil
191,67,63,66,75,lymphocyte
192,52,55,96,90,myelocyte
193,48,55,105,90,seg_neutrophil
194,66,67,69,66,lymphocyte
195,15,63,57,75,lymphocyte
196,67,63,66,75,lymphocyte
197,89,51,93,99,band_neutrophil
198,63,63,75,75,lymphocyte
199,48,51,105,93,band_neutrophil
200,54,49,93,102,seg_neutrophil
201,43,12,114,90,seg_neutrophil
202,48,49,105,102,band_neutrophil
203,51,92,99,96,band_neutrophil
204,49,51,102,99,band_neutrophil
205,39,45,123,111,seg_neutrophil
206,43,52,114,96,seg_neutrophil
207,77,60,99,81,myelocyte
208,46,48,108,105,band_neutrophil
209,46,51,108,99,band_neutrophil
210,60,60,81,81,lymphocyte
211,45,45,111,111,seg_neutrophil
212,52,55,96,90,myelocyte
213,34,51,132,99,metamyelocyte
214,43,46,114,108,myelocyte
215,46,51,108,99,band_neutrophil
216,51,51,99,99,immature_wbc
217,49,54,102,93,myelocyte
218,55,43,90,114,band_neutrophil
219,52,48,96,105,immature_wbc
220,52,39,96,84,immature_wbc
221,51,52,99,96,immature_wbc
222,51,92,99,81,immature_wbc
223,48,45,105,111,immature_wbc
224,55,52,90,96,immature_wbc
225,48,57,105,87,immature_wbc
226,49,46,102,108,immature_wbc
227,58,60,84,81,immature_wbc
228,55,63,90,75,immature_wbc
229,58,54,84,93,immature_wbc
230,57,36,87,84,immature_wbc
231,43,54,114,93,seg_neutrophil
232,58,58,84,84,immature_wbc
233,54,48,93,105,immature_wbc
234,49,52,102,96,immature_wbc
235,48,51,105,99,immature_wbc
236,52,55,96,90,immature_wbc
237,49,49,102,102,seg_neutrophil
238,57,60,87,81,immature_wbc
239,48,49,105,102,immature_wbc
240,48,58,105,84,immature_wbc
241,57,49,87,102,immature_wbc
242,58,54,84,93,seg_neutrophil
243,51,49,99,102,immature_wbc
244,49,58,102,84,immature_wbc
245,51,58,99,84,seg_neutrophil
246,40,55,120,90,seg_neutrophil
247,55,58,90,84,band_neutrophil
248,83,57,108,87,seg_neutrophil
249,57,52,87,96,immature_wbc
250,49,57,102,87,seg_neutrophil
251,49,55,102,90,immature_wbc
252,51,52,99,96,immature_wbc
253,37,52,126,96,immature_wbc
254,48,55,105,90,immature_wbc
255,28,51,144,99,immature_wbc
256,52,52,96,96,immature_wbc
257,55,74,90,99,immature_wbc
258,54,49,93,102,seg_neutrophil
259,55,55,90,90,immature_wbc
260,45,45,111,111,immature_wbc
261,49,57,102,87,immature_wbc
262,46,57,108,87,immature_wbc
263,55,54,90,93,immature_wbc
264,54,57,93,87,immature_wbc
265,55,54,90,93,immature_wbc
266,61,57,78,87,seg_neutrophil
267,95,64,102,72,band_neutrophil
268,60,49,81,102,immature_wbc
269,40,54,120,93,immature_wbc
270,49,57,102,87,immature_wbc
271,60,42,81,117,immature_wbc
272,57,54,87,93,immature_wbc
273,49,95,102,99,immature_wbc
274,58,54,84,93,immature_wbc
275,48,49,105,102,immature_wbc
276,55,49,90,102,band_neutrophil
277,61,55,78,90,band_neutrophil
278,52,46,96,108,metamyelocyte
279,45,57,111,87,band_neutrophil
280,104,54,93,93,immature_wbc
281,55,52,90,96,immature_wbc
282,40,43,120,114,immature_wbc
283,51,52,99,96,immature_wbc
284,60,61,81,78,band_neutrophil
285,49,51,102,99,immature_wbc
286,42,54,117,93,immature_wbc
287,45,52,111,96,seg_neutrophil
288,52,57,96,87,immature_wbc
289,25,34,150,132,immature_wbc
290,63,30,75,72,band_neutrophil
291,46,57,108,87,immature_wbc
292,46,54,108,93,immature_wbc
293,48,58,105,84,immature_wbc
294,21,37,159,126,immature_wbc
295,60,51,81,99,immature_wbc
296,52,63,96,75,immature_wbc
297,54,54,93,93,immature_wbc
298,48,52,105,96,immature_wbc
299,49,57,102,87,band_neutrophil
300,51,57,99,87,immature_wbc
301,57,58,87,84,immature_wbc
302,74,54,87,93,immature_wbc
303,54,40,93,120,immature_wbc
304,40,49,120,102,immature_wbc
305,55,52,90,96,immature_wbc
306,54,51,93,99,seg_neutrophil
307,43,86,114,111,seg_neutrophil
308,39,45,123,111,immature_wbc
309,54,55,93,90,immature_wbc
310,57,54,87,93,immature_wbc
311,6,51,102,99,immature_wbc
312,48,51,105,99,immature_wbc
313,36,42,129,117,immature_wbc
314,49,54,102,93,immature_wbc
315,52,60,96,81,immature_wbc
316,49,48,102,105,immature_wbc
317,58,58,84,84,band_neutrophil
318,51,48,99,105,immature_wbc
319,54,49,93,102,immature_wbc
320,49,57,102,87,immature_wbc
321,55,58,90,84,band_neutrophil
322,43,39,114,123,immature_wbc
323,51,54,96,93,immature_wbc
324,92,54,99,93,immature_wbc
325,49,42,102,117,immature_wbc
326,45,57,111,87,immature_wbc
327,51,57,99,87,immature_wbc
328,51,55,99,90,immature_wbc
329,52,58,96,84,immature_wbc
330,49,58,102,84,immature_wbc
331,43,46,114,108,immature_wbc
332,54,39,93,87,immature_wbc
333,54,54,93,93,immature_wbc
334,57,65,87,81,immature_wbc
335,46,49,108,102,immature_wbc
336,54,60,93,81,band_neutrophil
337,52,55,96,90,band_neutrophil
338,54,61,93,78,band_neutrophil
339,55,51,90,99,immature_wbc
340,61,61,78,78,immature_wbc
341,49,52,102,96,immature_wbc
342,48,55,105,90,immature_wbc
343,46,49,108,102,immature_wbc
344,57,57,87,87,immature_wbc
345,52,51,96,99,immature_wbc
346,46,52,108,96,band_neutrophil
347,40,43,120,114,immature_wbc
348,57,57,87,87,immature_wbc
349,46,49,108,102,immature_wbc
350,58,54,84,93,lymphocyte
351,55,57,90,87,immature_wbc
352,60,55,81,90,immature_wbc
353,46,46,108,108,immature_wbc
354,49,42,102,117,immature_wbc
355,46,49,108,102,immature_wbc
356,48,48,105,105,immature_wbc
357,46,57,108,87,immature_wbc
358,60,54,81,93,immature_wbc
359,64,63,72,75,lymphocyte
360,64,58,72,84,immature_wbc
361,51,54,99,93,immature_wbc
362,52,51,96,99,immature_wbc
363,36,40,129,120,immature_wbc
364,12,55,108,90,immature_wbc
365,60,57,81,87,immature_wbc
366,37,40,126,120,immature_wbc
367,49,57,102,87,immature_wbc
368,43,55,114,90,immature_wbc
369,51,48,99,105,immature_wbc
370,54,51,93,99,immature_wbc
371,55,57,90,87,immature_wbc
372,54,55,93,90,immature_wbc
373,43,40,114,120,immature_wbc
374,51,49,99,102,immature_wbc
375,54,52,93,96,immature_wbc
376,51,52,99,96,immature_wbc
377,48,60,105,81,immature_wbc
378,52,52,96,96,immature_wbc
379,56,56,93,90,immature_wbc
380,48,49,105,102,immature_wbc
381,49,45,102,111,eosinophil
382,49,46,102,108,immature_wbc
383,52,53,96,96,lymphocyte
384,40,40,120,120,immature_wbc
385,53,51,114,99,immature_wbc
386,55,60,90,81,immature_wbc
387,54,52,93,96,immature_wbc
388,46,46,108,108,immature_wbc
389,55,54,90,93,immature_wbc
390,54,54,93,93,immature_wbc
391,57,51,87,99,immature_wbc
392,49,15,102,96,immature_wbc
393,45,49,111,102,immature_wbc
394,52,52,96,96,immature_wbc
395,52,55,96,90,immature_wbc
396,58,66,84,69,immature_wbc
397,39,46,123,108,immature_wbc
398,49,51,102,99,lymphocyte
399,36,44,129,144,immature_wbc
400,60,57,81,87,seg_neutrophil
401,39,42,123,117,immature_wbc
402,55,48,90,105,immature_wbc
403,39,42,123,117,immature_wbc
404,34,40,132,120,seg_neutrophil
405,39,39,123,123,immature_wbc
406,52,58,96,84,immature_wbc
407,42,61,117,78,immature_wbc
408,54,55,93,90,immature_wbc
409,49,55,102,90,immature_wbc
410,33,36,135,129,monocyte
411,46,49,108,102,seg_neutrophil
412,52,101,96,69,immature_wbc
413,39,48,123,105,immature_wbc
414,45,57,111,87,artifact
415,55,49,90,102,immature_wbc
416,57,57,87,87,immature_wbc
417,60,51,81,99,seg_neutrophil
418,55,58,90,84,immature_wbc
419,49,52,102,96,immature_wbc
420,55,21,90,90,immature_wbc
421,49,51,102,99,immature_wbc
422,58,54,84,93,immature_wbc
423,54,57,93,87,immature_wbc
424,51,58,99,84,seg_neutrophil
425,16,31,168,138,immature_wbc
426,54,54,93,93,immature_wbc
427,48,58,105,84,immature_wbc
428,40,49,120,102,immature_wbc
429,57,63,87,75,band_neutrophil
430,45,92,111,90,immature_wbc
431,46,42,108,117,immature_wbc
432,61,61,78,78,seg_neutrophil
433,52,51,96,99,immature_wbc
434,49,57,102,87,immature_wbc
435,39,39,114,123,immature_wbc
436,46,51,108,99,immature_wbc
437,33,42,135,117,monocyte
438,54,48,93,105,seg_neutrophil
439,42,57,117,87,immature_wbc
440,48,51,105,99,immature_wbc
441,25,36,150,129,immature_wbc
442,47,45,111,111,immature_wbc
443,52,48,96,105,immature_wbc
444,57,54,87,93,seg_neutrophil
445,36,51,114,99,immature_wbc
446,40,45,120,93,immature_wbc
447,46,52,108,96,immature_wbc
448,58,52,84,96,immature_wbc
449,50,54,108,93,immature_wbc
450,57,54,87,93,immature_wbc
451,37,37,126,126,immature_wbc
452,34,28,132,144,monocyte
453,52,55,96,90,immature_wbc
454,57,61,87,78,immature_wbc
455,25,33,150,135,immature_wbc
456,49,60,102,81,immature_wbc
457,37,33,126,135,immature_wbc
458,57,45,87,78,immature_wbc
459,45,45,111,111,immature_wbc
460,55,63,90,75,immature_wbc
461,54,55,93,90,immature_wbc
462,51,58,99,84,immature_wbc
463,43,51,114,99,immature_wbc
464,52,55,96,90,immature_wbc
465,51,51,99,99,immature_wbc
466,55,54,90,93,seg_neutrophil
467,51,58,99,84,immature_wbc
468,52,55,96,90,immature_wbc
469,37,54,126,93,immature_wbc
470,45,54,111,93,immature_wbc
471,42,42,117,117,immature_wbc
472,51,95,99,99,immature_wbc
473,69,67,63,66,lymphocyte
474,42,61,117,78,immature_wbc
475,49,55,102,90,basophil
476,54,56,93,105,immature_wbc
477,30,49,141,102,immature_wbc
478,52,61,96,78,immature_wbc
479,61,55,78,90,immature_wbc
480,77,51,117,99,immature_wbc
481,57,60,87,81,immature_wbc
482,52,57,96,87,immature_wbc
483,55,57,90,87,metamyelocyte
484,51,60,99,81,immature_wbc
485,25,45,150,111,immature_wbc
486,52,57,96,87,immature_wbc
487,58,51,84,99,immature_wbc
488,60,61,81,78,immature_wbc
489,46,43,108,114,immature_wbc
490,54,49,93,102,immature_wbc
491,58,98,84,93,immature_wbc
492,51,55,99,90,immature_wbc
493,49,57,102,87,immature_wbc
494,66,57,69,87,immature_wbc
495,57,54,87,93,immature_wbc
496,45,48,111,105,immature_wbc
497,63,55,75,90,immature_wbc
498,54,54,93,93,immature_wbc
499,55,40,90,120,immature_wbc
500,58,55,84,90,immature_wbc
501,61,55,78,90,immature_wbc
502,61,61,78,78,immature_wbc
503,57,69,87,63,immature_wbc
504,51,36,99,87,immature_wbc
505,52,63,96,75,immature_wbc
506,60,52,81,96,immature_wbc
507,54,57,93,87,immature_wbc
508,51,51,99,99,immature_wbc
509,58,60,84,81,immature_wbc
510,60,54,81,93,immature_wbc
511,42,39,117,123,immature_wbc
512,49,24,102,102,immature_wbc
513,55,57,90,87,immature_wbc
514,54,54,93,93,immature_wbc
515,55,57,90,87,immature_wbc
516,54,48,93,105,immature_wbc
517,60,55,81,90,immature_wbc
518,55,48,90,105,immature_wbc
519,52,54,96,93,immature_wbc
520,54,63,93,75,immature_wbc
521,61,55,78,90,immature_wbc
522,42,54,117,93,immature_wbc
523,45,49,111,102,immature_wbc
524,42,48,117,105,immature_wbc
525,61,64,78,72,immature_wbc
526,46,57,108,87,immature_wbc
527,54,45,93,111,immature_wbc
528,3,49,96,102,immature_wbc
529,43,39,114,123,immature_wbc
530,55,95,90,96,immature_wbc
531,57,64,87,72,immature_wbc
532,54,57,93,87,immature_wbc
533,51,51,99,99,immature_wbc
534,37,58,126,84,immature_wbc
535,52,57,96,87,immature_wbc
536,58,43,84,114,immature_wbc
537,55,54,90,93,immature_wbc
538,51,55,99,90,immature_wbc
539,54,54,93,93,immature_wbc
540,55,49,90,102,immature_wbc
541,49,52,102,96,immature_wbc
542,52,57,96,87,immature_wbc
543,57,61,87,78,immature_wbc
544,46,54,108,93,immature_wbc
545,37,52,126,96,immature_wbc
546,64,60,72,81,immature_wbc
547,15,58,96,84,immature_wbc
548,61,49,78,102,immature_wbc
549,58,49,84,102,immature_wbc
550,54,52,93,96,immature_wbc
551,54,51,93,99,immature_wbc
552,57,54,87,93,immature_wbc
553,51,55,99,90,immature_wbc
554,55,61,90,78,immature_wbc
555,55,54,90,93,immature_wbc
556,52,49,96,102,immature_wbc
557,60,49,81,102,immature_wbc
558,55,46,90,108,immature_wbc
559,58,60,84,81,immature_wbc
560,54,51,93,99,immature_wbc
561,48,55,105,90,immature_wbc
562,37,58,126,84,immature_wbc
563,60,51,81,99,immature_wbc
564,48,49,105,102,immature_wbc
565,21,48,102,105,immature_wbc
566,54,43,93,114,immature_wbc
567,60,51,81,99,immature_wbc
568,51,51,99,99,immature_wbc
569,37,48,126,105,immature_wbc
570,34,52,132,96,immature_wbc
571,66,67,69,66,immature_wbc
572,60,66,81,69,immature_wbc
573,54,42,93,117,immature_wbc
574,61,57,78,87,immature_wbc
575,39,48,123,105,immature_wbc
576,39,54,123,93,immature_wbc
577,52,61,96,78,immature_wbc
578,58,55,84,90,immature_wbc
579,64,54,72,93,immature_wbc
580,58,58,84,84,immature_wbc
581,52,48,96,105,immature_wbc
582,52,49,96,102,immature_wbc
583,46,55,108,90,immature_wbc
584,42,55,117,90,immature_wbc
585,46,42,108,117,immature_wbc
586,55,55,90,90,immature_wbc
587,54,60,93,81,immature_wbc
588,66,48,69,105,immature_wbc
589,57,61,87,78,immature_wbc
590,45,39,111,123,immature_wbc
591,46,113,108,84,immature_wbc
592,43,43,114,114,immature_wbc
593,48,52,105,96,immature_wbc
594,61,113,78,81,immature_wbc
595,52,54,96,93,immature_wbc
596,61,64,78,72,immature_wbc
597,48,61,105,78,immature_wbc
598,54,48,93,105,immature_wbc
599,66,61,69,78,immature_wbc
600,95,77,93,81,immature_wbc
601,3,56,99,114,immature_wbc
602,27,60,93,81,immature_wbc
603,49,52,102,96,immature_wbc
604,48,51,105,99,immature_wbc
605,54,46,93,108,immature_wbc
606,60,48,81,105,immature_wbc
607,51,60,99,81,immature_wbc
608,46,27,108,96,immature_wbc
609,36,49,129,102,immature_wbc
610,51,64,99,72,immature_wbc
611,48,43,105,114,immature_wbc
612,54,42,93,117,immature_wbc
613,21,42,159,117,immature_wbc
614,48,43,105,114,immature_wbc
615,49,51,102,99,immature_wbc
616,51,45,99,111,immature_wbc
617,64,64,72,72,immature_wbc
618,51,55,99,90,immature_wbc
619,77,57,84,87,immature_wbc
620,55,52,90,96,immature_wbc
621,46,58,108,84,immature_wbc
622,60,51,81,99,immature_wbc
623,43,52,114,96,immature_wbc
624,54,58,93,84,immature_wbc
625,48,49,105,102,immature_wbc
626,48,51,105,99,immature_wbc
627,61,42,78,117,immature_wbc
628,52,52,96,96,immature_wbc
629,48,58,105,84,immature_wbc
630,70,63,60,75,immature_wbc
631,58,33,84,102,immature_wbc
632,52,46,96,108,immature_wbc
633,49,55,102,90,immature_wbc
634,49,60,102,81,immature_wbc
635,52,55,96,90,immature_wbc
636,58,43,84,114,immature_wbc
637,51,52,99,96,immature_wbc
638,55,98,90,96,immature_wbc
639,54,21,93,102,immature_wbc
640,48,51,105,99,immature_wbc
641,52,52,96,96,immature_wbc
642,52,48,96,105,immature_wbc
643,57,49,87,102,immature_wbc
644,83,55,108,90,immature_wbc
645,57,54,87,93,immature_wbc
646,54,54,93,93,immature_wbc
647,48,46,105,108,immature_wbc
648,58,57,84,87,immature_wbc
649,43,46,114,108,immature_wbc
650,43,52,114,96,immature_wbc
651,54,45,93,111,immature_wbc
652,60,63,81,75,immature_wbc
653,58,52,84,96,immature_wbc
654,42,36,117,108,immature_wbc
655,57,48,87,90,immature_wbc
656,55,49,90,102,immature_wbc
657,60,54,81,93,immature_wbc
658,116,48,81,105,immature_wbc
659,55,48,90,105,immature_wbc
660,66,52,69,96,immature_wbc
661,61,54,78,93,immature_wbc
662,63,54,75,93,immature_wbc
663,80,34,111,132,immature_wbc
664,61,49,78,102,immature_wbc
665,49,48,102,105,immature_wbc
666,49,48,102,105,immature_wbc
667,57,63,87,75,immature_wbc
668,46,48,108,84,immature_wbc
669,43,39,114,123,immature_wbc
670,64,63,72,75,immature_wbc
671,54,83,93,102,immature_wbc
672,45,6,111,90,immature_wbc
673,43,45,114,111,immature_wbc
674,52,60,96,81,immature_wbc
675,51,43,99,114,immature_wbc
676,51,51,84,99,immature_wbc
677,51,58,96,84,immature_wbc
678,61,55,78,90,immature_wbc
679,66,57,69,87,immature_wbc
680,51,52,99,96,immature_wbc
681,58,48,84,105,immature_wbc
682,3,51,78,99,immature_wbc
683,52,58,96,84,immature_wbc
684,60,63,81,75,immature_wbc
685,52,60,96,81,immature_wbc
686,58,63,84,75,immature_wbc
687,66,60,69,81,immature_wbc
688,51,55,99,90,immature_wbc
689,55,46,90,108,immature_wbc
690,63,34,75,132,immature_wbc
691,57,54,87,93,immature_wbc
692,60,66,81,69,immature_wbc
693,37,48,126,105,immature_wbc
694,52,60,96,81,immature_wbc
695,60,55,81,90,immature_wbc
696,83,58,105,84,immature_wbc
697,42,51,117,99,immature_wbc
698,54,55,93,90,immature_wbc
699,52,40,96,120,immature_wbc
700,48,55,105,90,immature_wbc
701,43,48,114,105,immature_wbc
702,55,43,90,114,immature_wbc
703,36,49,129,102,immature_wbc
704,51,54,99,93,immature_wbc
705,36,9,129,114,immature_wbc
706,42,49,117,102,immature_wbc
707,49,60,102,81,immature_wbc
708,61,51,78,99,immature_wbc
709,57,69,87,63,immature_wbc
710,61,51,78,99,immature_wbc
711,61,45,78,111,immature_wbc
712,60,55,81,90,immature_wbc
713,66,58,69,84,immature_wbc
714,9,48,111,105,immature_wbc
715,51,58,99,84,immature_wbc
716,57,57,87,87,immature_wbc
717,54,42,93,117,immature_wbc
718,45,54,111,93,immature_wbc
719,48,57,105,87,immature_wbc
720,46,83,108,114,immature_wbc
721,55,67,90,66,immature_wbc
722,61,42,78,117,immature_wbc
723,61,52,78,96,immature_wbc
724,42,49,117,102,immature_wbc
725,54,46,93,108,immature_wbc
726,45,46,111,108,immature_wbc
727,61,49,78,102,immature_wbc
728,24,54,105,93,immature_wbc
729,51,55,99,90,immature_wbc
730,51,58,99,84,immature_wbc
731,51,66,99,69,immature_wbc
732,48,52,105,96,immature_wbc
733,60,60,81,81,immature_wbc
734,51,55,99,90,immature_wbc
735,48,51,105,99,immature_wbc
736,54,49,93,102,immature_wbc
737,51,33,99,135,immature_wbc
738,55,52,90,96,immature_wbc
739,54,52,93,96,immature_wbc
740,60,61,81,78,immature_wbc
741,55,58,90,84,immature_wbc
742,61,57,78,87,immature_wbc
743,55,60,90,81,immature_wbc
744,49,55,102,90,immature_wbc
745,54,46,93,108,immature_wbc
746,51,51,99,99,immature_wbc
747,51,55,99,90,immature_wbc
748,55,52,90,96,abnormal_lymphocyte
749,52,51,96,99,immature_wbc
750,52,51,96,99,immature_wbc
751,48,51,105,99,immature_wbc
752,33,49,135,102,immature_wbc
753,49,51,102,99,immature_wbc
754,42,45,117,111,immature_wbc
755,36,45,129,111,immature_wbc
756,39,33,123,105,immature_wbc
757,51,45,99,111,immature_wbc
758,52,52,96,96,immature_wbc
759,52,57,96,87,immature_wbc
760,49,57,102,87,immature_wbc
761,51,54,99,93,immature_wbc
762,57,45,87,111,immature_wbc
763,45,80,111,102,immature_wbc
764,63,55,75,90,immature_wbc
765,54,54,93,93,immature_wbc
766,55,55,90,90,immature_wbc
767,54,45,93,111,immature_wbc
768,42,49,117,102,immature_wbc
769,40,52,120,96,immature_wbc
770,48,58,105,84,immature_wbc
771,61,58,78,84,immature_wbc
772,61,71,78,96,immature_wbc
773,52,62,96,93,immature_wbc
774,57,54,87,93,immature_wbc
775,52,57,96,87,immature_wbc
776,57,77,87,102,immature_wbc
777,51,48,99,105,immature_wbc
778,54,61,93,78,immature_wbc
779,63,60,75,81,immature_wbc
780,52,58,96,84,immature_wbc
781,64,61,72,78,immature_wbc
782,58,58,84,84,immature_wbc
783,57,52,87,96,immature_wbc
784,49,3,102,87,immature_wbc
785,54,61,93,78,immature_wbc
786,58,57,84,87,immature_wbc
787,54,39,93,123,immature_wbc
788,54,77,93,96,immature_wbc
789,60,48,81,105,immature_wbc
790,57,52,87,96,immature_wbc
791,58,40,84,120,immature_wbc
792,54,54,93,93,immature_wbc
793,52,55,96,90,immature_wbc
794,54,61,93,78,immature_wbc
795,54,49,93,102,immature_wbc
796,49,55,102,90,immature_wbc
797,30,37,141,126,immature_wbc
798,60,98,81,87,immature_wbc
799,49,46,102,108,immature_wbc
800,33,46,135,108,immature_wbc
801,58,44,84,123,immature_wbc
802,52,55,96,90,immature_wbc
803,58,55,84,90,immature_wbc
804,49,55,102,90,immature_wbc
805,55,45,90,111,immature_wbc
806,55,55,90,90,immature_wbc
